Make,Model,Variant, Ex-Showroom_Price ,Emission_Norm,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Power,Torque,Basic_Warranty,Child_Safety_Locks,Extended_Warranty,Minimum_Turning_Radius,Voice_Recognition,ABS_(Anti-lock_Braking_System),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Parking_Assistance,USB_Compatibility,EBA_(Electronic_Brake_Assist),Navigation_System,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Cruise_Control
Tata,Nano Genx,Xt," Rs. 2,92,667 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,660 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xe," Rs. 2,36,447 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Emax Xm," Rs. 2,96,661 ",BS IV,CNG,Hatchback,,,,710 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xta," Rs. 3,34,768 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,21.9 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xm," Rs. 2,72,223 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xma," Rs. 3,14,815 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,21.9 km/litre,710 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,Yes,,,,,,,,,,,,
Datsun,Redi-Go,D," Rs. 2,79,650 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,Yes,,,,,,,,,,,,,,
Datsun,Redi-Go,T," Rs. 3,51,832 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,,Yes,,,,,,
Datsun,Redi-Go,A," Rs. 3,33,419 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,,,,,,,,
Datsun,Redi-Go,S," Rs. 3,62,000 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,Rear sensors,,,,,,,
